id_x,price,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,availability_eoy,number_of_reviews,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,distance_to_center,neighbourhood_cleansed_Dn Laoghaire-Rathdown,neighbourhood_cleansed_Dublin City,neighbourhood_cleansed_Fingal,neighbourhood_cleansed_South Dublin,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,compound_scores,season_Spring,season_Summer,season_Autumn
46375076,211.0,3,92.0,63.0,0,5.0,1,1,53.30728,-6.26929,4,2.0,2.0,2.0,1,730,20,50,77,77,77,25,2,0,18,3798.0,4.48,4.6,4.36,4.56,4.56,4.8,4.32,0,0.81,4.769911572023552,0,1,0,0,1,0,0,0,0.737312,0.4,0.4,0.08
46388572,195.0,4,100.0,82.0,1,1.0,1,1,53.33878,-6.30595,4,1.0,3.0,3.0,3,1125,3,19,36,308,145,45,0,16,102,19890.0,4.91,4.96,4.62,5.0,5.0,4.89,4.58,0,0.81,3.2784252083223215,0,1,0,0,1,0,0,0,0.8645288888888888,0.15555555555555556,0.4222222222222222,0.4
46389034,288.0,4,89.0,100.0,1,6.0,1,0,53.348492,-6.230111,2,1.0,1.0,1.0,1,365,27,57,85,358,197,66,1,17,90,25920.0,4.77,4.68,4.73,4.88,4.73,4.71,4.55,1,1.43,2.0156809722902094,0,1,0,0,1,0,0,0,0.7688151515151515,0.3181818181818182,0.24242424242424243,0.36363636363636365
46389088,274.0,4,89.0,100.0,1,6.0,1,0,53.348492,-6.230111,2,1.0,1.0,1.0,1,365,26,56,84,357,196,1023,11,58,255,69870.0,4.85,4.84,4.84,4.88,4.79,4.7,4.69,1,22.14,2.0156809722902094,0,1,0,0,1,0,0,0,0.7018514229636899,0.2747791952894995,0.1619234543670265,0.3601570166830226
46389138,249.0,4,89.0,100.0,1,6.0,1,0,53.348492,-6.230111,2,1.0,1.0,1.0,1,365,15,37,65,337,176,793,2,94,255,63495.0,4.86,4.86,4.87,4.85,4.78,4.72,4.65,1,17.2,2.0156809722902094,0,1,0,0,1,0,0,0,0.6835165613147914,0.21238938053097345,0.22376738305941846,0.27560050568900124
46389198,469.0,4,89.0,100.0,1,6.0,1,0,53.348492,-6.230111,4,1.0,2.0,2.0,1,365,19,40,64,332,171,94,1,13,78,36582.0,4.79,4.68,4.87,4.81,4.63,4.69,4.59,1,2.07,2.0156809722902094,0,1,0,0,1,0,0,0,0.755859574468085,0.3191489361702128,0.4148936170212766,0.14893617021276595
46389254,286.0,4,89.0,100.0,1,6.0,1,0,53.348492,-6.230111,2,1.0,1.0,2.0,1,365,24,54,82,355,194,55,0,6,30,8580.0,4.73,4.72,4.76,4.78,4.76,4.8,4.46,1,1.21,2.0156809722902094,0,1,0,0,1,0,0,0,0.6237185185185184,0.24074074074074073,0.2777777777777778,0.3333333333333333
46389301,418.0,4,89.0,100.0,1,6.0,1,0,53.348492,-6.230111,4,1.0,2.0,2.0,1,365,26,54,80,351,190,591,5,86,255,106590.0,4.82,4.81,4.87,4.81,4.72,4.7,4.62,1,12.8,2.0156809722902094,0,1,0,0,1,0,0,0,0.7095098471986417,0.29541595925297115,0.22920203735144312,0.25127334465195245
46432092,78.0,4,98.0,96.0,0,26.0,1,1,53.32573,-6.27273,2,1.0,1.0,1.0,14,1125,9,28,28,28,28,37,0,10,196,15288.0,4.59,4.7,4.54,4.95,4.86,4.84,4.38,0,0.68,2.803855527043093,0,1,0,0,1,0,0,0,0.5323756756756757,0.2702702702702703,0.2702702702702703,0.24324324324324326
46485102,110.0,3,91.0,92.0,0,19.0,1,1,53.35871,-6.25146,2,1.0,1.0,1.0,60,90,0,8,11,183,20,27,0,8,255,28050.0,4.78,4.85,4.81,5.0,4.96,4.7,4.63,0,0.5,1.1531644673859776,0,1,0,0,1,0,0,0,0.5715333333333333,0.25925925925925924,0.2222222222222222,0.14814814814814814
46521149,349.0,4,100.0,98.0,0,9.0,1,1,53.37455,-6.20391,6,1.0,3.0,3.0,1,1125,6,6,14,278,115,44,2,12,102,35598.0,4.7,4.8,4.61,4.8,4.8,4.84,4.59,0,0.8,4.656247786123625,0,1,0,0,1,0,0,0,0.7291931818181818,0.3181818181818182,0.11363636363636363,0.20454545454545456
46616609,187.0,2,50.0,100.0,0,4.0,1,1,53.34732,-6.28954,2,1.0,1.0,1.0,1,365,10,31,41,73,45,28,0,2,6,1122.0,4.54,4.61,4.54,4.82,4.61,4.68,4.5,0,0.58,1.966709759278964,0,1,0,0,0,0,1,0,0.6690592592592592,0.3333333333333333,0.2962962962962963,0.18518518518518517
46617168,359.0,4,98.0,90.0,0,44.0,1,1,53.34047,-6.26117,5,1.5,2.0,4.0,2,28,7,14,24,111,104,11,0,0,12,4308.0,4.18,4.09,4.36,3.73,4.55,4.55,4.18,1,0.2,1.0399768193130132,0,1,0,0,1,0,0,0,0.8408909090909091,0.2727272727272727,0.18181818181818182,0.36363636363636365
46828813,146.0,4,99.0,100.0,1,12.0,1,1,53.35298,-6.26395,3,1.0,1.0,2.0,2,1125,2,19,42,301,138,192,7,81,255,37230.0,4.82,4.9,4.92,4.89,4.9,4.85,4.68,0,4.14,0.42933646396944414,0,1,0,0,0,0,1,0,0.6695534031413612,0.33507853403141363,0.17801047120418848,0.3298429319371728
46832098,119.0,0,100.0,100.0,1,1.0,1,1,53.31925,-6.2311,2,1.0,1.0,1.0,14,1125,3,23,30,206,43,32,0,5,112,13328.0,4.81,4.81,4.72,4.75,4.88,4.78,4.47,0,0.59,3.917116311771753,0,1,0,0,1,0,0,0,0.775246875,0.3125,0.21875,0.3125
46866785,70.0,3,100.0,91.0,0,45.0,1,1,53.36168,-6.27323,1,1.0,1.0,1.0,14,333,29,29,29,29,29,1,0,0,0,0.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,0,0.02,1.5777555210756067,0,1,0,0,0,0,1,0,0.8481,0.0,1.0,0.0
46985134,93.0,4,100.0,92.0,1,4.0,1,1,53.33103942871094,-6.221874237060547,1,1.0,0.0,1.0,6,90,9,37,54,156,156,22,1,9,108,10044.0,5.0,5.0,4.95,4.95,5.0,4.95,4.82,0,0.55,3.303063922127165,0,1,0,0,1,0,0,0,0.6543409090909091,0.5454545454545454,0.3181818181818182,0.09090909090909091
47090991,167.0,4,100.0,100.0,1,3.0,1,1,53.3862,-6.06547,4,1.5,1.0,2.0,2,90,7,24,39,304,141,227,7,42,255,42585.0,4.82,4.81,4.93,4.91,4.93,4.94,4.72,0,4.19,13.586842716348494,0,0,1,0,1,0,0,0,0.7968202643171806,0.2599118942731278,0.3744493392070485,0.2687224669603524
47114014,99.0,4,100.0,98.0,1,4.0,1,1,53.32789,-6.25795,2,1.0,0.0,1.0,23,1125,0,0,7,187,119,21,0,5,184,18216.0,4.95,4.9,4.86,5.0,5.0,5.0,4.71,0,0.39,2.4434409227473797,0,1,0,0,1,0,0,0,0.808204761904762,0.19047619047619047,0.2857142857142857,0.19047619047619047
47528675,140.0,3,100.0,91.0,0,45.0,1,1,53.32674,-6.2411,2,1.0,0.0,1.0,14,139,0,23,26,165,26,23,0,3,28,3920.0,4.61,4.78,4.52,4.91,4.83,4.83,4.39,0,0.46,2.8674258137605984,0,1,0,0,1,0,0,0,0.6103739130434783,0.2608695652173913,0.17391304347826086,0.34782608695652173
